"Time","Lorde, Royals (US Version): Plays - VEVO"
2014/05/10 00:00:00,661336
2014/05/09 00:00:00,558007
2014/05/08 00:00:00,389783
2014/05/07 00:00:00,494388
2014/05/06 00:00:00,483317
2014/05/05 00:00:00,484397
2014/05/04 00:00:00,660166
2014/05/03 00:00:00,636685
2014/05/02 00:00:00,590621
2014/05/01 00:00:00,577891
2014/04/30 00:00:00,553884
2014/04/29 00:00:00,618392
2014/04/28 00:00:00,615742
2014/04/27 00:00:00,680120
2014/04/26 00:00:00,708715
2014/04/25 00:00:00,631074
2014/04/24 00:00:00,749776
2014/04/23 00:00:00,856626
2014/04/22 00:00:00,686545
2014/04/21 00:00:00,519593
2014/04/20 00:00:00,1284099
2014/04/19 00:00:00,623080
2014/04/18 00:00:00,661566
2014/04/17 00:00:00,569799
2014/04/16 00:00:00,847299
2014/04/15 00:00:00,596424
2014/04/14 00:00:00,180629
2014/04/13 00:00:00,795541
2014/04/12 00:00:00,198654
2014/04/11 00:00:00,5623
2014/04/10 00:00:00,5867
2014/04/09 00:00:00,5868
2014/04/08 00:00:00,626390
2014/04/07 00:00:00,717868
2014/04/06 00:00:00,914902
2014/04/05 00:00:00,863147
2014/04/04 00:00:00,1004121
2014/04/03 00:00:00,719219
2014/04/02 00:00:00,717035
2014/04/01 00:00:00,645709
2014/03/31 00:00:00,672336
2014/03/30 00:00:00,781597
2014/03/29 00:00:00,803119
2014/03/28 00:00:00,757628
2014/03/27 00:00:00,759875
2014/03/26 00:00:00,790655
2014/03/25 00:00:00,848313
2014/03/24 00:00:00,748884
2014/03/23 00:00:00,1075034
2014/03/22 00:00:00,846296
2014/03/21 00:00:00,975888
2014/03/20 00:00:00,727818
2014/03/19 00:00:00,821397
2014/03/18 00:00:00,916643
2014/03/17 00:00:00,913553
2014/03/16 00:00:00,1020057
2014/03/15 00:00:00,982773
2014/03/14 00:00:00,1038313
2014/03/13 00:00:00,841673
2014/03/12 00:00:00,852273
2014/03/11 00:00:00,854996
2014/03/10 00:00:00,869567
2014/03/09 00:00:00,1336373
2014/03/08 00:00:00,962015
2014/03/07 00:00:00,1063290
2014/03/06 00:00:00,957281
2014/03/05 00:00:00,943858
2014/03/04 00:00:00,985980
2014/03/03 00:00:00,1013977
2014/03/02 00:00:00,1188379
2014/03/01 00:00:00,1186144
2014/02/28 00:00:00,984287
2014/02/27 00:00:00,976038
2014/02/26 00:00:00,957459
2014/02/25 00:00:00,1039872
2014/02/24 00:00:00,1044367
2014/02/23 00:00:00,1280261
2014/02/22 00:00:00,1386270
2014/02/21 00:00:00,1148301
2014/02/20 00:00:00,1193990
2014/02/19 00:00:00,987436
2014/02/18 00:00:00,996539
2014/02/17 00:00:00,1198762
2014/02/16 00:00:00,1319536
2014/02/15 00:00:00,1298061
2014/02/14 00:00:00,1253992
2014/02/13 00:00:00,1215439
2014/02/12 00:00:00,1081131
2014/02/11 00:00:00,1093272
2014/02/10 00:00:00,1271852
2014/02/09 00:00:00,1464259
2014/02/08 00:00:00,1358885
2014/02/07 00:00:00,1299391
2014/02/06 00:00:00,1294979
2014/02/05 00:00:00,1392739
2014/02/04 00:00:00,1338173
2014/02/03 00:00:00,1348817
2014/02/02 00:00:00,1673999
2014/02/01 00:00:00,1528140
2014/01/31 00:00:00,1596115
2014/01/30 00:00:00,1552848
2014/01/29 00:00:00,1521265
2014/01/28 00:00:00,1780395
2014/01/27 00:00:00,1909238
2014/01/26 00:00:00,1103504
2014/01/25 00:00:00,1433029
2014/01/24 00:00:00,914260
2014/01/23 00:00:00,1382964
2014/01/22 00:00:00,1001772
2014/01/21 00:00:00,1026921
2014/01/20 00:00:00,1347388
2014/01/19 00:00:00,1319004
2014/01/18 00:00:00,1672666
2014/01/17 00:00:00,1249380
2014/01/16 00:00:00,1100891
2014/01/15 00:00:00,1262151
2014/01/14 00:00:00,1385455
2014/01/13 00:00:00,1297770
2014/01/12 00:00:00,1889424
2014/01/11 00:00:00,1760677
2014/01/10 00:00:00,1502755
2014/01/09 00:00:00,1303712
2014/01/08 00:00:00,1297588
2014/01/07 00:00:00,1069065
2014/01/06 00:00:00,1177694
2014/01/05 00:00:00,1304273
2014/01/04 00:00:00,1436736
2014/01/03 00:00:00,1233540
2014/01/02 00:00:00,1266899
2014/01/01 00:00:00,1263676
2013/12/31 00:00:00,1631142
2013/12/30 00:00:00,1124394
2013/12/29 00:00:00,1281707
2013/12/28 00:00:00,1211001
2013/12/27 00:00:00,1451347
2013/12/26 00:00:00,1320798
2013/12/25 00:00:00,1148912
2013/12/24 00:00:00,1308395
2013/12/23 00:00:00,1290508
2013/12/22 00:00:00,1397907
2013/12/21 00:00:00,1417315
2013/12/20 00:00:00,1388572
2013/12/19 00:00:00,1197973
2013/12/18 00:00:00,1119707
2013/12/17 00:00:00,1097036
2013/12/16 00:00:00,1015549
2013/12/15 00:00:00,1473075
2013/12/14 00:00:00,1344701
2013/12/13 00:00:00,1034530
2013/12/12 00:00:00,875518
2013/12/11 00:00:00,1209105
2013/12/10 00:00:00,869861
2013/12/09 00:00:00,1156016
2013/12/08 00:00:00,1110095
2013/12/07 00:00:00,1040100
2013/12/06 00:00:00,945204
2013/12/05 00:00:00,1207430
2013/12/04 00:00:00,975048
2013/12/03 00:00:00,985174
2013/12/02 00:00:00,1053414
2013/12/01 00:00:00,1116412
2013/11/30 00:00:00,1211616
2013/11/29 00:00:00,1298380
2013/11/28 00:00:00,1497108
2013/11/27 00:00:00,1623319
2013/11/26 00:00:00,1242594
2013/11/25 00:00:00,1352718
2013/11/24 00:00:00,1645399
2013/11/23 00:00:00,1677664
2013/11/22 00:00:00,1309254
2013/11/21 00:00:00,2391405
2013/11/20 00:00:00,1193106
2013/11/19 00:00:00,588962
2013/11/18 00:00:00,
2013/11/17 00:00:00,
2013/11/16 00:00:00,
2013/11/15 00:00:00,
2013/11/14 00:00:00,
2013/11/13 00:00:00,
2013/11/12 00:00:00,
2013/11/11 00:00:00,
2013/11/10 00:00:00,
2013/11/09 00:00:00,
2013/11/08 00:00:00,
2013/11/07 00:00:00,1476131
2013/11/06 00:00:00,
2013/11/05 00:00:00,
2013/11/04 00:00:00,
2013/11/03 00:00:00,
2013/11/02 00:00:00,
2013/11/01 00:00:00,
2013/10/31 00:00:00,
2013/10/30 00:00:00,927528
2013/10/29 00:00:00,1307950
2013/10/28 00:00:00,1307950
2013/10/27 00:00:00,2014765
2013/10/26 00:00:00,1012562
2013/10/25 00:00:00,1171642
2013/10/24 00:00:00,1224668
2013/10/23 00:00:00,1953371
2013/10/22 00:00:00,34904
2013/10/21 00:00:00,868655
2013/10/20 00:00:00,1260211
2013/10/19 00:00:00,1257502
2013/10/18 00:00:00,1285239
2013/10/17 00:00:00,1037951
2013/10/16 00:00:00,1000009
2013/10/15 00:00:00,1450559
2013/10/14 00:00:00,1161838
2013/10/13 00:00:00,1834220
2013/10/12 00:00:00,1239902
2013/10/11 00:00:00,1527773
2013/10/10 00:00:00,1161144
2013/10/09 00:00:00,1289569
2013/10/08 00:00:00,678857
2013/10/07 00:00:00,1131577
2013/10/06 00:00:00,1235973
2013/10/05 00:00:00,1235973
2013/10/04 00:00:00,1011180
2013/10/03 00:00:00,1191717
2013/10/02 00:00:00,732146
2013/10/01 00:00:00,832958
2013/09/30 00:00:00,712080
2013/09/29 00:00:00,717625
2013/09/28 00:00:00,705084
2013/09/27 00:00:00,603344
2013/09/26 00:00:00,599147
2013/09/25 00:00:00,556669
2013/09/24 00:00:00,596207
2013/09/23 00:00:00,570538
2013/09/22 00:00:00,623136
2013/09/21 00:00:00,677867
2013/09/20 00:00:00,463744
2013/09/19 00:00:00,395137
2013/09/18 00:00:00,436615
2013/09/17 00:00:00,376176
2013/09/16 00:00:00,480682
2013/09/15 00:00:00,508117
2013/09/14 00:00:00,497551
2013/09/13 00:00:00,421313
2013/09/12 00:00:00,462701
2013/09/11 00:00:00,359265
2013/09/10 00:00:00,460110
2013/09/09 00:00:00,413598
2013/09/08 00:00:00,368673
2013/09/07 00:00:00,318859
2013/09/06 00:00:00,299495
2013/09/05 00:00:00,357755
2013/09/04 00:00:00,418318
2013/09/03 00:00:00,233467
2013/09/02 00:00:00,228644
2013/09/01 00:00:00,224676
2013/08/31 00:00:00,221774
2013/08/30 00:00:00,212361
2013/08/29 00:00:00,201743
2013/08/28 00:00:00,187237
2013/08/27 00:00:00,180000
2013/08/26 00:00:00,151683
2013/08/25 00:00:00,150810
2013/08/24 00:00:00,175837
2013/08/23 00:00:00,183494
2013/08/22 00:00:00,169990
2013/08/21 00:00:00,183797
2013/08/20 00:00:00,138646
2013/08/19 00:00:00,148810
2013/08/18 00:00:00,121926
2013/08/17 00:00:00,139465
2013/08/16 00:00:00,131303
2013/08/15 00:00:00,127192
2013/08/14 00:00:00,139628
2013/08/13 00:00:00,153046
2013/08/12 00:00:00,78376
2013/08/11 00:00:00,78696
2013/08/10 00:00:00,95647
2013/08/09 00:00:00,107025
2013/08/08 00:00:00,76832
2013/08/07 00:00:00,80149
2013/08/06 00:00:00,70243
2013/08/05 00:00:00,70697
2013/08/04 00:00:00,58625
2013/08/03 00:00:00,76083
2013/08/02 00:00:00,74275
2013/08/01 00:00:00,71733
2013/07/31 00:00:00,70021
2013/07/30 00:00:00,65857
2013/07/29 00:00:00,53239
2013/07/28 00:00:00,54958
2013/07/27 00:00:00,64080
2013/07/26 00:00:00,59158
2013/07/25 00:00:00,60682
2013/07/24 00:00:00,54956
2013/07/23 00:00:00,56346
2013/07/22 00:00:00,43525
2013/07/21 00:00:00,43865
2013/07/20 00:00:00,47709
2013/07/19 00:00:00,47112
2013/07/18 00:00:00,43884
2013/07/17 00:00:00,41431
2013/07/16 00:00:00,41475
2013/07/15 00:00:00,39037
2013/07/14 00:00:00,38148
2013/07/13 00:00:00,44988
2013/07/12 00:00:00,46668
2013/07/11 00:00:00,39282
