"Time","Robin Thicke: Downloads - BitTorrent"
2014/05/18 00:00:00,2547
2014/05/17 00:00:00,2504
2014/05/16 00:00:00,2401
2014/05/15 00:00:00,2462
2014/05/14 00:00:00,2542
2014/05/13 00:00:00,2579
2014/05/12 00:00:00,2487
2014/05/11 00:00:00,2654
2014/05/10 00:00:00,2540
2014/05/09 00:00:00,2518
2014/05/08 00:00:00,2633
2014/05/07 00:00:00,2493
2014/05/06 00:00:00,2598
2014/05/05 00:00:00,2733
2014/05/04 00:00:00,2665
2014/05/03 00:00:00,2647
2014/05/02 00:00:00,2687
2014/05/01 00:00:00,2548
2014/04/30 00:00:00,2599
2014/04/29 00:00:00,2663
2014/04/28 00:00:00,2836
2014/04/27 00:00:00,2896
2014/04/26 00:00:00,2715
2014/04/25 00:00:00,2735
2014/04/24 00:00:00,2574
2014/04/23 00:00:00,2640
2014/04/22 00:00:00,2536
2014/04/21 00:00:00,2943
2014/04/20 00:00:00,2500
2014/04/19 00:00:00,2718
2014/04/18 00:00:00,2719
2014/04/17 00:00:00,2546
2014/04/16 00:00:00,2645
2014/04/15 00:00:00,2825
2014/04/14 00:00:00,2714
2014/04/13 00:00:00,2735
2014/04/12 00:00:00,2805
2014/04/11 00:00:00,2722
2014/04/10 00:00:00,2705
2014/04/09 00:00:00,2808
2014/04/08 00:00:00,2873
2014/04/07 00:00:00,2966
2014/04/06 00:00:00,2938
2014/04/05 00:00:00,2997
2014/04/04 00:00:00,3012
2014/04/03 00:00:00,2946
2014/04/02 00:00:00,2280
2014/04/01 00:00:00,1037
2014/03/31 00:00:00,3051
2014/03/30 00:00:00,3090
2014/03/29 00:00:00,2935
2014/03/28 00:00:00,3079
2014/03/27 00:00:00,3329
2014/03/26 00:00:00,2106
2014/03/25 00:00:00,3328
2014/03/24 00:00:00,3234
2014/03/23 00:00:00,3297
2014/03/22 00:00:00,3170
2014/03/21 00:00:00,3135
2014/03/20 00:00:00,3171
2014/03/19 00:00:00,3156
2014/03/18 00:00:00,3227
2014/03/17 00:00:00,3230
2014/03/16 00:00:00,3161
2014/03/15 00:00:00,3242
2014/03/14 00:00:00,3175
2014/03/13 00:00:00,3158
2014/03/12 00:00:00,3104
2014/03/11 00:00:00,3158
2014/03/10 00:00:00,3101
2014/03/09 00:00:00,3264
2014/03/08 00:00:00,3421
2014/03/07 00:00:00,3240
2014/03/06 00:00:00,3211
2014/03/05 00:00:00,3210
2014/03/04 00:00:00,3223
2014/03/03 00:00:00,3312
2014/03/02 00:00:00,3349
2014/03/01 00:00:00,3296
2014/02/28 00:00:00,3255
2014/02/27 00:00:00,3286
2014/02/26 00:00:00,3408
2014/02/25 00:00:00,3322
2014/02/24 00:00:00,3392
2014/02/23 00:00:00,3375
2014/02/22 00:00:00,3356
2014/02/21 00:00:00,3392
2014/02/20 00:00:00,3142
2014/02/19 00:00:00,3395
2014/02/18 00:00:00,3293
2014/02/17 00:00:00,3556
2014/02/16 00:00:00,3248
2014/02/15 00:00:00,3381
2014/02/14 00:00:00,3104
2014/02/13 00:00:00,3325
2014/02/12 00:00:00,3361
2014/02/11 00:00:00,3202
2014/02/10 00:00:00,3349
2014/02/09 00:00:00,3425
2014/02/08 00:00:00,3365
2014/02/07 00:00:00,3132
2014/02/06 00:00:00,3285
2014/02/05 00:00:00,3374
2014/02/04 00:00:00,3452
2014/02/03 00:00:00,3286
2014/02/02 00:00:00,3553
2014/02/01 00:00:00,3456
2014/01/31 00:00:00,3403
2014/01/30 00:00:00,3322
2014/01/29 00:00:00,3311
2014/01/28 00:00:00,3580
2014/01/27 00:00:00,2571
2014/01/26 00:00:00,3528
2014/01/25 00:00:00,3310
2014/01/24 00:00:00,3096
2014/01/23 00:00:00,3003
2014/01/22 00:00:00,2984
2014/01/21 00:00:00,3108
2014/01/20 00:00:00,3188
2014/01/19 00:00:00,3078
2014/01/18 00:00:00,3131
2014/01/17 00:00:00,3123
2014/01/16 00:00:00,3006
2014/01/15 00:00:00,3074
2014/01/14 00:00:00,3078
2014/01/13 00:00:00,3070
2014/01/12 00:00:00,3417
2014/01/11 00:00:00,3109
2014/01/10 00:00:00,2857
2014/01/09 00:00:00,3172
2014/01/08 00:00:00,3293
2014/01/07 00:00:00,3135
2014/01/06 00:00:00,3378
2014/01/05 00:00:00,3351
2014/01/04 00:00:00,3263
2014/01/03 00:00:00,3308
2014/01/02 00:00:00,3482
2014/01/01 00:00:00,2875
2013/12/31 00:00:00,3248
2013/12/30 00:00:00,3493
2013/12/29 00:00:00,3148
2013/12/28 00:00:00,3177
2013/12/27 00:00:00,3107
2013/12/26 00:00:00,3274
2013/12/25 00:00:00,2994
2013/12/24 00:00:00,3143
2013/12/23 00:00:00,3185
2013/12/22 00:00:00,3151
2013/12/21 00:00:00,3171
2013/12/20 00:00:00,3038
2013/12/19 00:00:00,2988
2013/12/18 00:00:00,3025
2013/12/17 00:00:00,3325
2013/12/16 00:00:00,3491
2013/12/15 00:00:00,3370
2013/12/14 00:00:00,3263
2013/12/13 00:00:00,3294
2013/12/12 00:00:00,3216
2013/12/11 00:00:00,3347
2013/12/10 00:00:00,3309
2013/12/09 00:00:00,3534
2013/12/08 00:00:00,3643
2013/12/07 00:00:00,3539
2013/12/06 00:00:00,3382
2013/12/05 00:00:00,3568
2013/12/04 00:00:00,3573
2013/12/03 00:00:00,3532
2013/12/02 00:00:00,3587
2013/12/01 00:00:00,3642
2013/11/30 00:00:00,3647
2013/11/29 00:00:00,3507
2013/11/28 00:00:00,3738
2013/11/27 00:00:00,3697
2013/11/26 00:00:00,3691
2013/11/25 00:00:00,3906
2013/11/24 00:00:00,4108
2013/11/23 00:00:00,3966
2013/11/22 00:00:00,3685
2013/11/21 00:00:00,3855
2013/11/20 00:00:00,3851
2013/11/19 00:00:00,3981
2013/11/18 00:00:00,4238
2013/11/17 00:00:00,4313
2013/11/16 00:00:00,4067
2013/11/15 00:00:00,3805
2013/11/14 00:00:00,4152
2013/11/13 00:00:00,2897
2013/11/12 00:00:00,3948
2013/11/11 00:00:00,4621
2013/11/10 00:00:00,4663
2013/11/09 00:00:00,4818
2013/11/08 00:00:00,4675
2013/11/07 00:00:00,4673
2013/11/06 00:00:00,4130
2013/11/05 00:00:00,4876
2013/11/04 00:00:00,3858
2013/11/03 00:00:00,5017
2013/11/02 00:00:00,4707
2013/11/01 00:00:00,3894
2013/10/31 00:00:00,3796
2013/10/30 00:00:00,3701
2013/10/29 00:00:00,4339
2013/10/28 00:00:00,4233
2013/10/27 00:00:00,4795
2013/10/26 00:00:00,4318
2013/10/25 00:00:00,4780
2013/10/24 00:00:00,5482
2013/10/23 00:00:00,4626
2013/10/22 00:00:00,16
2013/10/21 00:00:00,1263
2013/10/20 00:00:00,2080
2013/10/19 00:00:00,3657
2013/10/18 00:00:00,69
2013/10/17 00:00:00,81
2013/10/16 00:00:00,140
2013/10/15 00:00:00,85
2013/10/14 00:00:00,248
2013/10/13 00:00:00,249
2013/10/12 00:00:00,440
2013/10/11 00:00:00,964
2013/10/10 00:00:00,567
2013/10/09 00:00:00,420
2013/10/08 00:00:00,575
2013/10/07 00:00:00,1886
2013/10/06 00:00:00,236
2013/10/05 00:00:00,502
2013/10/04 00:00:00,161
2013/10/03 00:00:00,209
2013/10/02 00:00:00,102
2013/10/01 00:00:00,278
2013/09/30 00:00:00,168
2013/09/29 00:00:00,1157
2013/09/28 00:00:00,1357
2013/09/27 00:00:00,1558
2013/09/26 00:00:00,430
2013/09/25 00:00:00,3096
2013/09/24 00:00:00,3608
2013/09/23 00:00:00,1327
2013/09/22 00:00:00,226
2013/09/21 00:00:00,1599
2013/09/20 00:00:00,2685
2013/09/19 00:00:00,1462
2013/09/18 00:00:00,2374
2013/09/17 00:00:00,584
2013/09/16 00:00:00,2535
2013/09/15 00:00:00,1982
2013/09/14 00:00:00,1933
2013/09/13 00:00:00,1081
2013/09/12 00:00:00,2933
2013/09/11 00:00:00,3151
2013/09/10 00:00:00,3908
2013/09/09 00:00:00,3169
2013/09/08 00:00:00,2097
2013/09/07 00:00:00,2831
2013/09/06 00:00:00,3892
2013/09/05 00:00:00,4488
2013/09/04 00:00:00,4391
2013/09/03 00:00:00,1225
2013/09/02 00:00:00,2286
2013/09/01 00:00:00,3286
2013/08/31 00:00:00,6644
2013/08/30 00:00:00,7555
2013/08/29 00:00:00,7739
2013/08/28 00:00:00,7533
2013/08/27 00:00:00,6824
2013/08/26 00:00:00,5349
2013/08/25 00:00:00,6067
2013/08/24 00:00:00,5857
2013/08/23 00:00:00,3246
2013/08/22 00:00:00,3749
2013/08/21 00:00:00,3850
2013/08/20 00:00:00,3507
2013/08/19 00:00:00,4524
2013/08/18 00:00:00,3047
2013/08/17 00:00:00,5308
2013/08/16 00:00:00,4673
2013/08/15 00:00:00,3994
2013/08/14 00:00:00,5146
2013/08/13 00:00:00,5157
2013/08/12 00:00:00,1779
2013/08/11 00:00:00,2568
2013/08/10 00:00:00,2303
2013/08/09 00:00:00,6044
2013/08/08 00:00:00,5816
2013/08/07 00:00:00,3074
2013/08/06 00:00:00,5227
2013/08/05 00:00:00,3570
2013/08/04 00:00:00,4459
2013/08/03 00:00:00,4535
2013/08/02 00:00:00,5490
2013/08/01 00:00:00,5947
2013/07/31 00:00:00,6819
2013/07/30 00:00:00,8104
2013/07/29 00:00:00,7245
2013/07/28 00:00:00,8675
2013/07/27 00:00:00,9160
2013/07/26 00:00:00,8655
2013/07/25 00:00:00,7210
2013/07/24 00:00:00,7686
2013/07/23 00:00:00,7561
2013/07/22 00:00:00,6614
2013/07/21 00:00:00,9302
2013/07/20 00:00:00,6769
2013/07/19 00:00:00,9225
2013/07/18 00:00:00,7491
2013/07/17 00:00:00,7971
2013/07/16 00:00:00,6687
2013/07/15 00:00:00,9070
2013/07/14 00:00:00,7217
2013/07/13 00:00:00,8728
2013/07/12 00:00:00,10227
2013/07/11 00:00:00,9961
2013/07/10 00:00:00,7678
2013/07/09 00:00:00,
2013/07/08 00:00:00,
2013/07/07 00:00:00,
2013/07/06 00:00:00,
2013/07/05 00:00:00,
2013/07/04 00:00:00,
2013/07/03 00:00:00,
2013/07/02 00:00:00,12089
2013/07/01 00:00:00,10861
2013/06/30 00:00:00,10488
2013/06/29 00:00:00,10069
2013/06/28 00:00:00,8874
2013/06/27 00:00:00,9730
2013/06/26 00:00:00,10961
2013/06/25 00:00:00,11313
2013/06/24 00:00:00,11070
2013/06/23 00:00:00,9446
2013/06/22 00:00:00,12573
2013/06/21 00:00:00,14433
2013/06/20 00:00:00,14060
2013/06/19 00:00:00,4591
2013/06/18 00:00:00,4710
2013/06/17 00:00:00,3540
2013/06/16 00:00:00,3790
2013/06/15 00:00:00,3924
2013/06/14 00:00:00,3529
2013/06/13 00:00:00,3786
2013/06/12 00:00:00,4544
2013/06/11 00:00:00,4320
2013/06/10 00:00:00,5071
2013/06/09 00:00:00,3234
2013/06/08 00:00:00,4151
2013/06/07 00:00:00,4170
2013/06/06 00:00:00,3639
2013/06/05 00:00:00,3879
2013/06/04 00:00:00,4184
2013/06/03 00:00:00,3817
2013/06/02 00:00:00,3690
2013/06/01 00:00:00,3986
2013/05/31 00:00:00,3482
2013/05/30 00:00:00,2562
2013/05/29 00:00:00,5844
2013/05/28 00:00:00,6923
2013/05/27 00:00:00,5844
2013/05/26 00:00:00,4858
2013/05/25 00:00:00,5417
2013/05/24 00:00:00,5318
2013/05/23 00:00:00,4948
2013/05/22 00:00:00,2887
2013/05/21 00:00:00,6706
2013/05/20 00:00:00,5690
2013/05/19 00:00:00,3683
2013/05/18 00:00:00,3878
2013/05/17 00:00:00,3747
2013/05/16 00:00:00,5683
2013/05/15 00:00:00,5794
2013/05/14 00:00:00,4381
2013/05/13 00:00:00,4522
2013/05/12 00:00:00,4851
2013/05/11 00:00:00,4969
2013/05/10 00:00:00,3596
2013/05/09 00:00:00,2827
2013/05/08 00:00:00,3466
2013/05/07 00:00:00,3908
2013/05/06 00:00:00,3435
2013/05/05 00:00:00,3539
2013/05/04 00:00:00,2474
2013/05/03 00:00:00,2309
2013/05/02 00:00:00,2244
2013/05/01 00:00:00,2036
2013/04/30 00:00:00,2002
2013/04/29 00:00:00,1964
2013/04/28 00:00:00,2359
2013/04/27 00:00:00,3170
2013/04/26 00:00:00,2889
2013/04/25 00:00:00,2782
2013/04/24 00:00:00,2174
2013/04/23 00:00:00,2711
2013/04/22 00:00:00,2523
2013/04/21 00:00:00,2542
2013/04/20 00:00:00,2456
2013/04/19 00:00:00,2281
2013/04/18 00:00:00,1948
2013/04/17 00:00:00,1737
2013/04/16 00:00:00,1483
2013/04/15 00:00:00,1554
2013/04/14 00:00:00,1641
2013/04/13 00:00:00,1666
2013/04/12 00:00:00,1752
2013/04/11 00:00:00,1814
2013/04/10 00:00:00,1682
2013/04/09 00:00:00,1685
2013/04/08 00:00:00,1369
2013/04/07 00:00:00,1688
2013/04/06 00:00:00,1388
2013/04/05 00:00:00,1654
2013/04/04 00:00:00,1457
2013/04/03 00:00:00,1383
2013/04/02 00:00:00,1350
2013/04/01 00:00:00,1163
2013/03/31 00:00:00,1119
2013/03/30 00:00:00,964
2013/03/29 00:00:00,1197
2013/03/28 00:00:00,1587
2013/03/27 00:00:00,1619
2013/03/26 00:00:00,1191
2013/03/25 00:00:00,1130
2013/03/24 00:00:00,868
2013/03/23 00:00:00,912
2013/03/22 00:00:00,1083
2013/03/21 00:00:00,1154
2013/03/20 00:00:00,911
2013/03/19 00:00:00,779
2013/03/18 00:00:00,769
2013/03/17 00:00:00,844
2013/03/16 00:00:00,797
2013/03/15 00:00:00,882
2013/03/14 00:00:00,953
2013/03/13 00:00:00,838
2013/03/12 00:00:00,803
2013/03/11 00:00:00,902
2013/03/10 00:00:00,576
2013/03/09 00:00:00,490
2013/03/08 00:00:00,564
2013/03/07 00:00:00,585
2013/03/06 00:00:00,534
2013/03/05 00:00:00,544
2013/03/04 00:00:00,379
2013/03/03 00:00:00,525
2013/03/02 00:00:00,408
2013/03/01 00:00:00,489
2013/02/28 00:00:00,433
2013/02/27 00:00:00,524
2013/02/26 00:00:00,363
2013/02/25 00:00:00,367
2013/02/24 00:00:00,332
2013/02/23 00:00:00,330
2013/02/22 00:00:00,468
2013/02/21 00:00:00,597
2013/02/20 00:00:00,585
2013/02/19 00:00:00,520
2013/02/18 00:00:00,408
2013/02/17 00:00:00,426
2013/02/16 00:00:00,371
2013/02/15 00:00:00,469
2013/02/14 00:00:00,484
2013/02/13 00:00:00,512
2013/02/12 00:00:00,454
2013/02/11 00:00:00,393
2013/02/10 00:00:00,456
2013/02/09 00:00:00,341
2013/02/08 00:00:00,425
