"Time","Ylvis: Downloads - BitTorrent"
2013/09/21 00:00:00,21
2013/09/20 00:00:00,0
2013/09/19 00:00:00,0
2013/09/18 00:00:00,0
2013/09/17 00:00:00,16
2013/09/16 00:00:00,16
2013/09/15 00:00:00,21
2013/09/14 00:00:00,0
2013/09/13 00:00:00,4
2013/09/12 00:00:00,16
2013/09/11 00:00:00,9
2013/09/10 00:00:00,18
2013/09/09 00:00:00,8
2013/09/08 00:00:00,1
