"Time","Passenger: Plays - YouTube"
2010/03/07 00:00:00,3024
2010/02/28 00:00:00,3007
2010/02/21 00:00:00,2673
2010/02/14 00:00:00,3461
2010/02/07 00:00:00,2875
2010/01/31 00:00:00,3627
2010/01/24 00:00:00,3945
2010/01/17 00:00:00,3914
2010/01/10 00:00:00,2697
2010/01/03 00:00:00,3111
2009/12/27 00:00:00,2389
2009/12/20 00:00:00,2420
2009/12/13 00:00:00,2710
